제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
제19회 세계예술치유축제 아싸라비아 자원봉사자 모집!!(~6/29),20180621, 사단법인 세계예술치료협회19회 세계예술치유축제 아싸라비아 짝지 선생님 및 Staff 자원봉사자 모집,"짝지: 장애/비장애 아동의 짝지가 되어 같이 축제에 참여Staff: 놀이, 공연프로그램 운영 관리, 간식,공간관리, 안전요원영상제작: 사진을 이용하여 영상제작(기본 영상제작프로그램을 사용하실 수 있으면 됩니다/예: 윈도우 무비메이커, 베가스 등)기자단:WATA 책자 스토리 작성(블로그 등의 경험이 있으신 분이나 글쓰기를 좋아하시는 분들 우대합니다^^","모집 : 6월 1일(금) ~ 6월 29일(금)발표 : 7월 20일(금)  홈페이지 공지 (wata.or.kr)사전모임 : 8월 18일(금), 14시, 서울시 중구 구민회관 강당",<ul>짝지봉사자 100명 / STAFF 50명</ul><ul></ul><ul></ul><ul></ul>,즐거운 마음으로 봉사해주실 성인남녀(졸업생 가능),참가비용 無 (2박3일간 숙식 및 기념 티셔츠 제공),경험자 우대열정과 패기가 넘치는 분,축제 장소 : 경기도평생교육진흥원 체인지업캠퍼스 양평캠프경기도 양평군 소재 (경의선 용문역),"<font color=""#236adf"" face=""2827838_9""></font>2018년 8월 24일(금)  26일(금), 2박3일"
[스페셜올림픽코리아] 2018 스페셜 뮤직&아트 페스티벌 통역자원봉사자 모집,20180621,(사)스페셜올림픽코리아,행사 기간 동안 외국인 발달장애인 참가자(멘티)와 보호자(메이트)의 원활한 행사 참여 및 의사소통을 위해 통역 진행,2018년 6월 12일(화) ~ 7월 6일(금),"통역 자원봉사자 00명(언어: 영어, 광동어, 만다린어, 러시아어, 스페인어, 몽골어, 인도네시아어, 프랑스어, 일본어)", 만 18세 이상(2000. 08. 07 이전 출생 내외국인으로서 행사 기간 동안 활동 가능한 자 외국어 언어 통역이 가능한 자,무," 특수교육, 특수체육, 사회복지학과 전공자 또는 관련 경력자 음악 전공자 또는 관련 경력자 이전에 스페셜 뮤직&아트 페스티벌 또는 스페셜올림픽 행사에 참여한 경험이 있는 자 기타 자원봉사활동 경력자",평창 알펜시아 리조트,2018년 8월 7일 ~ 11일
7. 28 한강나이트워크42K 봉사자 모집(~7. 8),20180621,한강사업본부,"행사장 참가자 응대, 코스 안전관리, 행사장 환경정화",~7.8(일),총 80명,성인 누구나 가능,자원봉사이므로 무료,,여의도 녹음수 광장 외 한강 일대,7.28~익일 새벽
[코드코치] 코드코치 6기 교육 봉사자 모집 (~6/26),20180620,코드코치,코드코치는 부산대학교 SW교육센터와 연계하여 부산 지역 청소년들 대상으로 코딩 교육을 진행하는 봉사 동아리입니다.이번에 모집하는 교육 봉사자는 활동 기간 중 총 6회 동안 교사로서 청소년들을 가르치는 역할을 맡게 됩니다. 코딩에 대해 잘 알지 못하는 비전공자분들을 고려하여 운영진들이 교사분들을 대상으로 진행하는 사전 교육 또한 포함되어 있습니다.," 모집 : 18. 06. 18(월) ~ 18. 06. 26(화) 총 9일간 면접 : 18. 06. 28(목) ~ 18, 06, 29(금) 총 2일간 합격자 발표 : 18. 07. 03(화) 오리엔테이션 : 18. 07. 06(금) (이후 1박2일 MT 진행될 예정)",약 30 명, 교육과 코딩에 관심이 있는 대학(원) 생 (전공 무관 / 비전공자도 가능) 부산에 접근이 쉬운 대학(원) 생,무,없음,,"중 총 6회 동안 교사로서 청소년들을 가르치는 역할을 맡게 됩니다. 코딩에 대해 잘 알지 못하는 비전공자분들을 고려하여 운영진들이 교사분들을 대상으로 진행하는 사전 교육 또한 포함되어 있습니다.모집 기간 모집 : 18. 06. 18(월) ~ 18. 06. 26(화) 총 9일간 면접 : 18. 06. 28(목) ~ 18, 06, 29(금) 총 2일간 합격자 발표 : 18. 07. 03(화) 오리엔테이션 : 18. 07. 06(금) (이후 1박2일 MT 진행될 예정)모집 인원약 30 명모집 대상(+졸업생 가능여부) 교육과 코딩에 관심이 있는 대학(원) 생 (전공 무관 / 비전공자도 가능) 부산에 접근이 쉬운 대학(원) 생참가 비용 유/무무우대 사항없음활동 지역부산 금정구활동 기간 사전 교육 : 18. 07. 09(월) ~ 18. 07. 27(금) 중 협의 정규 교육 : 18. 07. 30(월) ~ 18. 08. 16(목) 중 주 2일, 총 6일"
 [모집]2018년 9차 월드프렌즈 코이카봉사단(128기)(~8/13)],20180808,2018 9차 월드프렌즈 KOICA봉사단 128기를 모집합니다. 이번 봉사단의 면접을 KOICA부산사무소와 본부에서 동시시행하오니,"은 하단의  ‘직종별 세부활동내역’ 붙임파일을 참고하시기 바랍니다.구    분직       종공공행정관광, 사회복지교육과학교육, 미술교육, 사서, 수학교육, 요리, 유아교육, 음악교육, 제과/제빵, 청소년개발,체육교육(일반), 체육교육(태권도), 초등교육, 컴퓨터교육(디자인), 컴퓨터교육(일반),특수교육, 한국어교육농림수산농업, 식품가공, 지역개발, 축산보건간호, 물리치료, 보건일반산업에너지기계, 섬유/의류, 용접, 자동차, 전기/전력기타환경ㅇ 파견국가 : 17개국 아  시 아 : 라오스, 몽골, 베트남, 캄보디아, 필리핀 아프리카 : 르완다, 우간다, 카메룬, 코트디브아르, 탄자니아 중  남 미 : 볼리비아, 에콰도르, 온두라스, 코스타리카, 파라과이, 페루 중동·CIS : 키르기즈스탄   □ 선발일정  ㅇ 지원서 접수 : 2018. 07. 31(화) ~ 2018. 08. 13(월)ㅇ 서류합격자 발표 : 2018. 08. 24(금)ㅇ 면접 전형 : 2018. 09. 02(일)ㅇ 국내교육 : 2018. 11. 07(수) ~ 2018. 12. 07(금)ㅇ 파견시기 : 2018년 12월 초 예정   □ 부산사무소 면접시행 안내  ㅇ 128기 면접 서울부산 동시시행  ㅇ 면접지역 선택시 희망면접지역 선택 → 합격자 발표시 면접장소 함께 확인  ㅇ 부산사무소 면접시행 직종(총 5개) : 미술교육, 음악교육, 체육교육(일반), 컴퓨터교육(일반), 자동차  ㅇ 부산사무소 지원자가 한 직종 당 3인, 전체 15인 미만일 경우 면접장소가 서울로 변경될 수 있습니다.  ※ 자세한 사항은 ‘모집안내문’과 ‘직종별 세부활동내역’ 붙임파일을 참고하시기 바랍니다.※ 상기 일정은 국제협력단의 사정에 따라 일부 변경될 수 있으며 변경 시에는 별도 공지합니다.



| KOICA 봉사단
2018년 9차 일반봉사단 ( 제 128기 ) 01 지원서 접수 ( 20180731~20180813 ) 전체 과정 펼치기 2018년 4차 월드프렌즈 코..
kov.koica.go.kr


본문으로 이동

활동내용",,,,,,,
 [유엔환경계획 한국위원회] 해외 프로젝트 자원봉사자 모집,20180808,SK 이노베이션과 유엔환경계획 한국협회 공동 주최,베트남의 기후 변화 대응을 위하여 SK 이노베이션과 유엔환경계획 한국협회가 공동 주최로 베트남 맹그로브 숲 복원 사업을 진행하고자 합니다.,8월 16일,0명,대학생(휴학생) 및 졸업생,항공 및 현지 숙식 등 일체 지원,"영어 가능자,베트남어 가능자",베트남 호치민 남부 짜빈성 지역,9월 5일9월8일
 [캄보프렌드] 2018년 하계방학 해외봉사활동 지원자 모집(하계 및 수시모집),20180807,캄보프렌드,"교육봉사,노력봉사,건축봉사,볼런투어(공정봉사여행),컴퓨터교육,기타 개인 및 단체봉사단",하계방학 봉사프로그램 (~2018.09월까지) / 연중수시모집 봉사프로그램 (연중수시지원),제한없음,제한없음 (개인 또는 단체) : 졸업생 신청 가능,참가비용 : 유,제한없음 (누구나 봉사활동 참여 가능),캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사프로그램마다 활동기간 다름 (본인 희망에 따라 일정 선택 가능)
 [CAMBOFRIEND] 해외봉사-개인교육봉사 지원자 모집(수시모집),20180807,CAMBOFRIEND,교육봉사활동,연중수시모집,제한없음 (홀로 또는 동행과 함께 신청 가능),"제한없음 (학생,휴학생,졸업생,직장인,일반인 등)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사활동기간 본인이 직접 정하여 봉사활동 가능
 [워너고트립] 유럽 여행 혼자가기 망설여 진다면?! 오직 20대만을 위한 여행! 유일한 유럽 대장정(10월 출발!) + 가을 베스트 유럽 31(~마감임박),20180803,워너고트립,"* 31일간의 핵심 동 / 서유럽 + @낭만의 동유럽과 매력 넘치는 서유럽 + @까지! 자세한 건 안내자료에!* 유럽의 3대 야경유럽에 가면 꼭 봐야하는 3대 야경!베스트 유럽 30일애눈 빠짐 없이 다~~~있다!* 20대만의 그룹여행 ‘혼자서는 느낄수 없는 즐거움’ 6~7명의 새로운 친구들과 한조가 되어 도시 별 자유여행을 즐기고 불편하고 번거로운 도시 이동은 다 같이 버스로!(도시간 이동만 다 함께, 도시 내 여행은 조별로 자유롭게 합니다.) 20대 또래들과 함께라 더 즐거워요. 평생 친구를 만날 수도 있죠.", 모집 : 06.04 ~선착순 마감, 모집 인원 :48명 / <잔여 공석이 얼마 남지 않았습니다!>,"여행을 사랑하고 떠나고 싶은 대한민국 20대라면 누구나 지원가능 단, 오직 20대만",참가비 있음 세부 내용 홈페이지 및 안내자료 참고,,세부 내용 홈페이지 및 안내자료 참고,10월 17일 ~ 11월 15일
" [아리랑유랑단] 한국무용 프로젝트 이탈리아(3기), 프랑스(1기) 단원 모집(~8/5)",20180802,아리랑유랑단,유럽 축제 무대에서 한국무용 공연,~8/5,이탈리아 3기  6명프랑스 1기  6명총 12명,2030 여성 누구나 (졸업생 가능),유,,이탈리아 브레시아프랑스 니스,이탈리아 3기  9/26 ~ 10/2프랑스 1기  10/3 ~ 10/9
 [케네디국제학교]교육봉사및 현지활동-필리핀어학연수 무료혜택,20180802,시온맘홈스테이; 에듀왕어학원; 케네디 국제학교,홈스테이 및 어학센타 관리지도 교사,2018년 8월 5일 ~ 적임자 선정시까지 접수가능함 상단 이력서 다운받아 작성후 qkruddhr@naver.com 으로 보내주세요...,장기근무자 (6개월 이상) 2명 (남/여 각 1명씩),"정규 4년재대학 이상(재학및 휴학생)남자는 군필,여자는 3학년이상...학생 수학지도 가능자.(이과/공대 우대)/ 교육관련학과 우대 ,수학전공자 우대아이들을 좋아하고건강하고 적극성이 있는 대학생.기독교에 반감없고 주일예배 참석가능자 졸업생 가능 여부 (O,X) O",무,기독교인 (신천지나이단종교 금지) / 공과대생 / 교육대생/학생지도및관리경험자 우대.,필리핀 마닐라 알라방,장기 근무자는 2018년8월25일이전 근무시작 가능~ [6개월 이상 근무가능자 ]
 KF 한국 청년대표단 중국 파견 사업 단원 모집 ~8/2 오후2시,20180731,한국 국제교류재단,중국 문화 체험 활동 및 교류,~8/2 (화) 오후 2시,120명 내외,만 24세~33세,개인 비자 발급 및 사전 교육 교통비 외 전액 무료,"중국 관련 전공 직장인, 스타트업 종사자, 문화예술종사자, 기타 중국문화교류에 관심있는 분들","중국 베이징, 절강성 이우, 하북성 슝안 및 스자좡",사전교육은 포스터 참고중국 파견 기간은 8월 23일(목)~30일(목) / 7박 8일
 [외교부 워킹홀리데이 인포센터] A to Z,20180727,외교부 워킹홀리데이 인포센터,워킹홀리데이 홍보 및 정보제공,기간 없음,인원 없음,워킹홀리데이에 관심있으신 분,무,적극적이고 열정적인 분,수도권 포함 전국,지속 활동
 [유엔해비타트] UN 청년의 날 in Kenya 한국 사절단 모집! 해외봉사탐방!(~07.30),20180725,UNHabitat Kenya HQUNHabitat YOUTHNOW,1) UN 케냐 본부 견학2) UN 직원들과의 집담회 및 강연 교육2) International Youth Day(IYD) 참가3) IYD 한국 부스 운영 계획4) 케냐 수도 나이로비 견학5) 마사이마라(세렝게티) 문화탐방 2일  경비행기 이용,2018년 7월 30일(월) 까지,30명 (케냐 본부와 조율중),"중,고등학생. 대학생 및 일반인 청년 모두",유 (지원서에서 확인 가능),국제기구에 대한 관심도,케냐 (준비 기간 및 보고회는 국내),2018.08.01 ~17(예정)
" [한국갭이어] 세상의 서쪽 끝, 포르투갈에서 푸른빛 바닷속 물고기 지키기 해외봉사활동(~선착순 마감)",20180725,한국갭이어,상단 이미지 참고,상시모집 선착순 마감,00명,"대학생, 휴학생, 졸업생, 일반인 등 만 18세 이상 누구나",유참가기간 별 비용 상이홈페이지에서 확인 혹은 카카오톡 플러스친구 @갭이어 / koreagapyear@gmail.com 문의,,,"동안 다양한 외국인 친구들과 생활하며 다양한 문화를 경험해 볼 수 있는 기회가 될 수 있습니다.숙소는 시내에 위치해 봉사활동 장소 및 다양한 리스본 관광 명소에 접근이 용이하며, 활동장소까지 대중교통으로 30분 이내 혹은 장소에 따라 도보로 이동할 수 있습니다. 또한 숙소 담당 코디네이터가 관리하고 있어 안전합니다.방은 최소 4명~최대 10명까지 함께 생활하며, 무료 와이파이와 기본 침구류가 제공됩니다. (성별 분리)공용 시설로는 발코니, 리빙룸, 키친(기본 조리도구 구비), 공용화장실이 있습니다.식사는포르투갈현지식을 포함한 다양한 음식을 맛볼 수 있는 뷔페 형태로, 아침,점심,저녁식사가제공됩니다. 외부에서식사를희망하는경우미리요청하면테이크아웃을하여원하는장소에서식사가가능합니다. 세탁은숙소에서 요청 시 1회 약 5유로 정도로 가능하며, 혹은 근처 셀프빨래방을 이용할 수 있습니다. 만 18세 이상 신체 건강한 남녀 누구나남들과 똑같은 유럽여행에 질려 나만의 새로운 유럽여행을 계획하고 있는 사람 여행의 재미와 봉사활동의 특별함을 한 번에 누려보고 싶은 사람 혼자 여유로움을 즐기는 힐링이 필요하면서도 막상 혼자 여행을 가면 외로울 것 같은 사람 포르투갈 현지 봉사자들과 전세계에서 온 봉사자들과 함께 새로운 추억을 만들고 싶은 사람 본 프로젝트의최소참가 기간은최소 1주입니다. 본 프로젝트는 참가자의 참가기간 및 참가일정에 따라 비용이 달라지는 프로젝트입니다.자세한 비용은 홈페이지에서 확인해주시기 바랍니다.>홈페이지 바로 가기http://www.koreagapyear.com/allProgram_detail2.php?key=c29289cb16b7c3c2076b10a2238f8281* 본 프로젝트는 참가자가 직접 참가를 원하는 날짜와 기간을 선택할 수 있습니다. 여러분의 일정에 맞게 봉사활동에 참가해보세요** 참가비용은 참가자의 일정에 따라 달라지기 때문에, 참가비용 및 세부 포함/불포함 내역은 홈페이지에서 확인가능합니다.  상단의 [지원하기]버튼을 클릭해주시거나>>상세정보 페이지 바로가기(클릭)<<을 클릭해주세요!*** 문의사항은 언제든지카카오톡 플러스친구 @갭이어 혹은 koreagapyear@gmail.com 으로 문의주시면   현지기관을 직접 방문하여 프로젝트를 기획한 기획자분과 상담이 가능합니다.주최사 / 활동명한국갭이어 / 세상의 서쪽 끝, 포르투갈에서 푸른빛 바닷속 물고기 지키기 해외봉사활동활동내용상단 이미지 참고모집 기간상시모집 선착순 마감모집 인원00명모집 대상(+졸업생 가능여부)대학생, 휴학생, 졸업생, 일반인 등 만 18세 이상 누구나참가 비용 유/무유참가기간 별 비용 상이홈페이지에서 확인 혹은 카카오톡 플러스친구 @갭이어 / koreagapyear@gmail.com 문의우대 사항활동 지역포르투갈활동 기간최소 1주 이상"
 [아시안프렌즈]아시아에서 봉사하며 한 달 살아보기 파견지 변경 연장 모집!(~8/12(일)),20180723,(사)아시안프렌즈,한 달 간 아시안프렌즈 현장에서 봉사하며 살아보기(주말은 개인시간),2018년 7월 23일(월)~8월 12일(일) 24:00까지,1~2명,인도와 베트남에서 한 달 간 살아보고자 하는 열정과 봉사에 뜻이 있는 이는 누구나!(졸업생 가능),"개인 참가비: 1,800,000원(항공, 비자발급비, 해외여행자보험, 숙박(30박 31일))",,"인도 오르차, 베트남 호치민",2018년 9월 1일(토)~9월 30일(일)
 [OKOVO]일본 오타루눈빛거리축제 봉사단 모집(~7/22),20180714,OKOVO (http:,일본 오타루눈빛거리축제 한국 봉사단, 7.9 ~ 7.22, 30명,만 20세 이상 신체건강한 대한민국 남녀 해외여행에 결격사유 없는 자 책임감을 가지고 활동에 성실히 임할 자, 유 (80만원), 일본 문화에 대한 이해가 높은 자 일본어 가능자, 일본 오타루시, 2월 중 20일가량 (미정)
 [글로벌투게더] 해외사업팀 사무보조 자원봉사자 모집 (~7/27),20180713,사단법인 글로벌투게더,봉사활동 (사무보조),~ 2018년 7월 27(금) 18:00 까지,상관없음,"대학생, 휴학생, 직장인, 취준생 등 누구나 가능활동 지역글로벌투게더 사무실 (서울시 중구 다산로 232, 신당동 창원빌딩 2층)활동 기간[요일] 7월 23일(월)~ 7월 27일(금) 중 선택가능[시간] 10:00 ~ 18:00 중 시간 조절 가능[업무] 해외사업팀 문서작성, 서류 복사 및 정리활동 혜택VMS를 통한 자원봉사활동 인증지원하는 방법 이메일 지원 : sonyun924@gmail.com 전화 지원 : 국내사업팀 손유나 간사(☎. 0267310686)공식 카페/블로그 및 SNS 홈페이지: www.gtgt.org 블로그: blog.naver.com/gtgt0765 카페: cafe.naver.com/globaltogether SNS(페이스북, 트위터, 인스타그램 등):www.facebook.com/globaltogetherwww.instagram.com/globaltogether< 대외활동 담당자의 Q&A >Q. 필요 역량 및",,"대학생, 휴학생, 직장인, 취준생 등 누구나 가능","글로벌투게더 사무실 (서울시 중구 다산로 232, 신당동 창원빌딩 2층)","[요일] 7월 23일(월)~ 7월 27일(금) 중 선택가능[시간] 10:00 ~ 18:00 중 시간 조절 가능[업무] 해외사업팀 문서작성, 서류 복사 및 정리"
 [2018원주다이내믹댄싱카니발사무국] 2018원주다이내믹댄싱카니발 해외통역자원봉사자 모집 (~8/10),20180712,문화체육관광부,해외팀 / 관람객 통역자원봉사,2018년 07월 09일(월) ~ 2018년 08월 10일 (금),00명,"영어, 러시아어, 일본어, 중국어, 기타언어 가능자졸업생 가능 여부 (O,X) 졸업무관",없음,해당 언어 정공자 및 경력자 우대,원주 관내,2018년 09월 11일(화) ~ 9월 16일 (일)* 담당 해외 공연팀 일정에 따라 활동기간 변동
 [비소나눔마을] 2018 하계 캄보디아 국제봉사캠프(해외봉사단) 모집! with 현지 대학생들(현재 2자리 남음),20180711,사단법인 비소나눔마을,"캄보디아 대학생 봉사자들과 함께 하는 초등학교 교육봉사, 마을봉사등","~2018.7.14(단, 기간 안이라도 인원충족시 선착순 마감)",10명내외," 15세~27세 지구촌을 사랑하는 대한민국 남녀(10명 내외) 뜨거운 열정으로 해외봉사와 소중한 추억을 만들고 싶은 자  국내외 전체 일정 참여 가능자(7/14 발대식,기본교육, ~8/4 팀별 모임,준비)",230만원 → 180만원,개발도상국 아이들을 사랑하는 따뜻한 마음을 가진 자,캄보디아,2018.08.05~12.
 [캄보디아 해비타트-희망의 집짓기] 개인건축(교육) 봉사자 모집(~8월까지),20180711,캄보프렌드,주택건축봉사활옹 + 교육봉사활동,~ 2018.08월까지,제한없음,"제한없음 (학생,휴학생,졸업생,직장인,일반인 등) : 홀로 또는 동행과 함께 건축에 대한 기본 지식이 없어도 누구나 참여 가능",참가비용 : 유,해당없음,캄보디아 씨엠립,1차~2차 각 차수별 6박8일 일정 (희망차수 선택하여 지원 가능)
 [CFO] 하계방학 해외 Challenge 봉사 지원자 모집 (~9/30일까지),20180711,CAMBOFRIEND ORGANIZATION  2018년 하계방학 Challenge 및 Free Challenge 봉사활동 지원자 모집,교육봉사활동 + 노력봉사활동,~ 2018.09.30일까지,제한없음,"학생,휴학생,졸업생,직장인,일반인 등 (홓로 또는 동행과 함께)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비)," 제 13기 Challenge 봉사 프로그램 : 1차~11차 각 차수별 6박8일 일정(차수 본인 선택 지워)  Free Challenge 봉사 프로그램 : 4박6일 이상 봉사일정,출발일 본인이 정하여 봉사활동"
[아시안프렌즈]아시아에서 봉사하며 한 달 살아보기 참가자 모집(~7/15(일)),20180706,(사)아시안프렌즈,한 달 간 아시안프렌즈 현장에서 봉사하며 살아보기(주말은 개인시간),2018년 7월 5일(목)~7월 15일(일) 24:00까지,1~2명,몽골과 인도에서 한 달 간 살아보고자 하는 열정과 봉사에 뜻이 있는 이는 누구나!(졸업생 가능),"개인 참가비: 1,800,000원(항공, 비자발급비, 해외여행자보험, 숙박(30박 31일))",,"몽골 바가노르, 인도 오르차",2018년 8월 1일(수)~8월 31일(금)
캐나다 해외봉사/인턴 활동 (사회복지/와이너리/리조트/호텔) 모집중,20180706,문화체험본부,"캐나다 동부 서부 지역의 와이너리 또는 리조트, 호텔 등 하루 일정 시간 봉사를 통해 실무 능력과 언어를 향상 시키고 무료 숙박을 제공 받아 현지 문화체험의 기회를!",상/하반기 일정( 마감까지 ~ ),포지션별 상이,"해외 여행에 결격사유가 없는 심신이 건강한 사람.해외 문화체험에 관심이 많고 현지인들과 어울리는 것을 어려워하지 않는 사람.영어회화 초급자 가능.캐나다 배낭 여행 계획 혹은 비용을 최소화 하여 여행 하고자 하는 사람.봉사활동을 통해 커리어를 쌓고, 미래에 현지 취업을 희망하는 사람.",참가비,영어회화 초급자 이상우대.관련 업무또는 활동 유 경험자프랑스어 가능자 우대.운전면허 소지자,캐나다 동부/서부 전 지역,최소2개월  1년
[하이원리조트] 해외도 가고 멘토링도 하자! 2018 하이원 드림 원정대 대학생 멘토단 (~7/17),20180706,하이원리조트,1) 폐광지역 청소년 멘토링2) 해외 탐방 스탭 활동3) 다양한 청소년 교육 프로그램 스탭 활동,2018.06.27~7.17,24명,"상기 일정에 참여 가능한 대학생, 휴학생, 졸업생, 대학원생",무,하이원 원정대 출신 또는 유스나우/유엔해비타트 프로그램 참가자 우대,서울/강원,2018.07.30~2019.02.24
"[한국갭이어] 싱가포르, 희귀야생동물 구조 봉사활동(~선착순 마감)",20180706,한국갭이어,상단 내용 참고,선착순 모집,00명,"대학생, 휴학생, 졸업생, 일반인 등 만 18세 이상 누구나",유기간별 상이 / 홈페이지 참고,,싱가포르,최소 1주 이상
[캄보프렌드] 2018년 하계방학 해외봉사활동 지원자 모집(하계 및 수시모집),20180704,캄보프렌드,"교육봉사,노력봉사,건축봉사,볼런투어(공정봉사여행),컴퓨터교육,기타 개인 및 단체봉사단",하계방학 봉사프로그램 (~2018.09월까지) / 연중수시모집 봉사프로그램 (연중수시지원),제한없음,제한없음 (개인 또는 단체) : 졸업생 신청 가능,참가비용 : 유,제한없음 (누구나 봉사활동 참여 가능),캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사프로그램마다 활동기간 다름 (본인 희망에 따라 일정 선택 가능)
[볼런투어-공정봉사여행] 해외공정봉사여행 참가자 모집 (수시모집),20180704,캄보프렌드,"교육봉사 + 현지 실생활체험활동 + 문화,생활상탐방 + Activity체험활동 등",연중수시모집,"제한없음 (단, 2명이상 동행과 함께 신청 가능)","제한없음 (졸업생 가능) : 학생,휴학생,직장인,일반인 등",참가비용 : 유,해당없음 (누구나 신청 가능),캄보디아(씨엠립) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),3박5일 / 4박6일 / 6박8일 프로그램 운영 (본인 선택)
월드투게더 2018 해외파견인력 모집,20180704,[월드투게더]2018 해외파견간사 추가파견 모집,"파견시기: 8월중 파견파견기간: 최소 6개월(이후 희망 시 1년 단위 연장 가능)파견국가: 케냐, 미얀마", 서류접수: 6월 25일(월) ~ 7월 8일(일) 자정까지 이메일로 접수 서류결과발표: 7월 10일(화) 면접: 7월 11일(수) ~ 7월 13일(금) 예비합격자발표: 7월 13일(금) 예비합격자대상 건강검진 개별실시: 7월 16일(월) ~ 7월 19일(목) 단체 국내교육: 7월 말 ~ 8월 초(변경 가능) KCOC 국내교육(합숙): 8월 13일(월) ~ 8월 17일(금) 파견: 8월 18~31일 중* 상기 내용 및 일정은 단체의 사정에 따라 변경될 수 있습니다.* 관련 내용 문의: (recruit@worldtogether.or.kr/024294044),모집인원: 2명, 최소 6개월이상 활동할 수 있는 자(이후 1년단위로 연장 가능) 해외봉사활동을 수행할 수 있는 신체와 정신이 건강한 자 해외여행에 결격 사유가 없는 자(남자의 경우 군필 또는 면제자) 국제개발협력 및 개발도상국 해외자원활동 경험자 우대 해당 분야 관련 전공 또는 경력자 우대 파견 전 국내교육 프로그램에 참여할 수 있는 자,"지원내용 왕복힝공권, 현지정착비, 현지어교육비, 현지 주거비 및 생활비, 예방접종비, 보험/긴급의료서비스, 선발 및 구국 시 건강검진비 등(내규에 따름)",개발협력사업 유경험자영어능력 우수자,"케냐, 미얀마",6개월~1년
[엔젤스헤이븐]2018년 월드프렌즈 NGO봉사단원 모집(~7/10),20180704,엔젤스헤이븐, 담당 주요업무: 베트남 장애아동 및 청소년 교육환경개선사업 업무지원 (KOICA 민관협력사업)          협력기관 관리 및 단위사업 활동지원          사업 모니터링 및 홍보 지원,2018.06.25~2018.07.04,1명,일반인 및 대학생(졸업생 가능), 개인부담:예방접종비(KCOC에서 지원되지 않는 예방접종시), 봉사정신이 투철하며 국제개발협력에 관심이 있는 만19세 이상의 대한민국 국적을 가진 자 6개월 이상 해외파견 근무가 가능한 자 해외파견에 결격사유가 없고 신체 건강한자영어 의사소통 가능자 우대특수교육 관심이 있는 자 우대,베트남 하노이 지역, 2018년8월~ 2019년2월(6개월/ 1년 단위 연장 가능)
[월드투게더]2018년 월드프렌즈 NGO봉사단원 모집(~7/8),20180704,월드투게더," 케냐, 미얀마에서 해당 개발협력 사업 수행 및 모니터링 진행파견국인원담당업무우대사항케냐1명젖소대출사업 수행/모니터링지부 행정개발협력사업 유경험자영어능력 우수자미얀마1명지역개발사업 수행/모니터링어린이결연사업지부행정개발협력사업 유경험자영어능력 우수자", 서류접수: 6월 25일(월) ~ 7월 8일(일) 자정까지 이메일로 접수 서류결과발표: 7월 10일(화) 면접: 7월 11일(수) ~ 7월 13일(금) 예비합격자발표: 7월 13일(금) 예비합격자대상 건강검진 개별실시: 7월 16일(월) ~ 7월 19일(목) 단체 국내교육: 7월 말 ~ 8월 초(변경 가능) KCOC 국내교육(합숙): 8월 13일(월) ~ 8월 17일(금) 파견: 8월 18~31일 중," 2명(케냐, 미얀마 각 1명)", 최소 6개월이상 활동할 수 있는 자(이후 1년단위로 연장 가능) 해외봉사활동을 수행할 수 있는 신체와 정신이 건강한 자 해외여행에 결격 사유가 없는 자(남자의 경우 군필 또는 면제자) 파견 전 국내교육 프로그램에 참여할 수 있는 자, 참가비용 없음, 국제개발협력 및 개발도상국 해외자원활동 경험자 우대 해당 분야 관련 전공 또는 경력자 우대," 케냐, 미얀마", 최소 6개월(이후 희망 시 1년 단위 연장 가능)
[국제청년센터] 제11차 미국 멕시코 해외봉사단 모집(~7/31),20180702,국제청년센터,미국 멕시코 문화 체험과 멕시코 원주민 봉사활동,7월 31일까지 선착순 마감,10명,대학생 일반인 등 성인,참가비 120만원(항공권 별도 개별 구입),,미국 멕시코,9월 20일~10월 1일
